Округ,Регион,Город,Предприятие,Кол-во зачисленных
Приволжский федеральный округ ,Республика Татарстан,Набережные челны,Производственное предприятие «Камстандарт»,
Приволжский федеральный округ ,Республика Татарстан,Набережные челны,Челнинский арматурный завод,
Приволжский федеральный округ ,Республика Татарстан,Набережные челны,ООО «Новые литейные технологии»,
Приволжский федеральный округ ,Республика Татарстан,Набережные челны,"Камский завод металлоконструкций ""ТЭМПО""",
Центральный федеральный округ,Курская область,Курск,"ЗАО ""Курский электроаппаратный завод""",
Центральный федеральный округ,Курская область,Курск,"ОАО ""ЭЛЕКТРОАГРЕГАТ""",
Центральный федеральный округ,Курская область,Курск,"ООО ""Курскхимволокно""",
Центральный федеральный округ,Курская область,Курск,"
Курский аккумуляторный завод (КАЗ)",
Центральный федеральный округ,Курская область,Курск,Элеватормельмаш (ЭММ),
Центральный федеральный округ,Курская область,Курск,«Авиаавтоматика» им. В.В. Тарасова»,
Центральный федеральный округ,Курская область,Курск,"
Счетмаш",
Приволжский федеральный округ ,Пермский край,Пермь,"Общество с Ограниченной Ответственностью ""Ранмакс""",
Приволжский федеральный округ ,Пермский край,Пермь,"Завод ""Уралгидромаш""",
Приволжский федеральный округ ,Пермский край,Пермь,"Завод ""Синергия""",
Приволжский федеральный округ ,Пермский край,Пермь,"Завод энергетического машиностроения ""Пермэнергокомплект""",
Приволжский федеральный округ ,Пермский край,Пермь,,
Сибирский федеральный округ,Алтайский край,Барнаул,Алтайский завод агрегатов,
Сибирский федеральный округ,Алтайский край,Барнаул,Сибирская энергетическая компания,
Сибирский федеральный округ,Алтайский край,Барнаул,АО Барнаульский радиозавод,
Сибирский федеральный округ,Алтайский край,Барнаул,Алтайский приборостроительный завод «Ротор»,
Сибирский федеральный округ,Алтайский край,Барнаул,Барнаульский станкостроительный завод (БСЗ),
Центральный федеральный округ,Белгородская область,Белгород,ОЭЗ Белэнергомаш,
Центральный федеральный округ,Белгородская область,Белгород,Белгородский завод Ритм,
Центральный федеральный округ,Белгородская область,Белгород,Гормаш,
Южный федеральный округ,Краснодарский край,Краснодар,"ООО ""Тегас""",
Южный федеральный округ,Краснодарский край,Краснодар,ОАО 275 Авиационный ремонтный завод,
Южный федеральный округ,Краснодарский край,Краснодар,"ЗАО""Краснодарский нефтеперерабатывающий завод""",
Центральный федеральный округ,Липецкая область,г. Лебедянь,ООО «Лебедянский машиностроительный завод»,
Центральный федеральный округ,Липецкая область,г. Елец,ОАО «Гидропривод»,
Центральный федеральный округ,Липецкая область,г. Липецк,"ООО ""ЛПО ""Электроаппарат""",
Центральный федеральный округ,Липецкая область,г. Грязи,ООО «СЭСТ-ЛЮВЭ»,
Северо-Западный федеральный округ,Вологодская область,Череповец,"Череповецкий литейно-механический завод (""ЧЛМЗ"")",
Северо-Западный федеральный округ,Вологодская область,Череповец,Череповецкий трубопрокатный завод,
Северо-Западный федеральный округ,Вологодская область,Череповец,Череповецкий металлургический комбинат (ЧерМК),
Северо-Западный федеральный округ,Вологодская область,Череповец,ОАО «Северсталь-метиз»,
Центральный федеральный округ,Рязанская область,Рязань,"АО ""Рязанская нефтеперерабатывающая компания""",
Центральный федеральный округ,Рязанская область,Рязань,"АО ""Государственный Рязанский приборный завод""",
Центральный федеральный округ,Рязанская область,Рязань,"ОАО ""Рязанский Станкостроительный Завод""",
Центральный федеральный округ,Рязанская область,Рязань,АО «360 авиаремонтный завод»,
Центральный федеральный округ,Тамбовская область,Томбов,"ОАО ""Тамбовский завод ""Комсомолец"" им. Н.С. Артемова""",
Центральный федеральный округ,Тамбовская область,Томбов,"ОАО ""Тамбовский завод ""Революционный труд""",
Центральный федеральный округ,Тамбовская область,Томбов,"АО ""Тамбовмаш""",
Южный федеральный округ,Ростовская область,Ростов-на-дону,"АО ""ГОРИЗОНТ""",
Южный федеральный округ,Ростовская область,Ростов-на-дону,Ростовский-на-Дону электровозоремонтный завод (Ростовский-на-Дону ЭРЗ),
Южный федеральный округ,Ростовская область,Ростов-на-дону,"ООО ""Ростовский Компрессорный Завод""",
Южный федеральный округ,Краснодарский край,Краснодар,"ООО ""Газпром Добыча Краснодар""",
Южный федеральный округ,Краснодарский край,Краснодар,"ООО ""Нефтедобыча""",
Южный федеральный округ,Краснодарский край,Краснодар,"ООО ""Русская Нефтяная Компания""",
Южный федеральный округ,Краснодарский край,Краснодар,"ОАО ""275 Авиационный ремонтный завод""",
Приволжский федеральный округ ,Пермский край,Пермь,ПАО «Пермская научно-производственная приборостроительная компания»,
Приволжский федеральный округ ,Пермский край,Пермь,АО «ОДК-Пермские моторы»,
Приволжский федеральный округ ,Пермский край,Пермь,Группа компаний «Новомет»,
Северо-Западный федеральный округ,Архангельская область,Архангельск,Судоремонтный завод «Красная Кузница» (СРЗ «Красная Кузница»),
Сибирский федеральный округ,Кемеровская область,Новокузнецк,Завод по ремонту горно-шахтного оборудования,
